case_id,baseline_method,target_method,rectangle_count,baseline_travel_mode_cost,target_travel_mode_cost,travel_mode_cost_delta,travel_mode_cost_reduction_pct,baseline_air_move_distance,target_air_move_distance,air_move_distance_reduction_pct,baseline_cutting_length,target_cutting_length,baseline_machining_cost,target_machining_cost,machining_cost_reduction_pct,baseline_hard_penalty,target_hard_penalty,hard_penalty_delta,baseline_stability_penalty,target_stability_penalty,stability_penalty_delta,stability_penalty_reduction,baseline_tool_event_count,target_tool_event_count,tool_event_count_reduction,baseline_runtime_ms,target_runtime_ms,runtime_ratio,process_key_winner
review_overnight_20260422.zip|review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1000\placements.csv|340,path_distance_local_search,process_aware_beam,26,5604.991671,10405.340461,4800.348790,-85.644173,5354.991671,10405.340461,-94.311048,18565.100000,18565.100000,24170.091671,28970.440461,-19.860697,0.000000,0.000000,0.000000,3.000000,0.000000,-3.000000,3.000000,67.000000,68.000000,-1.000000,302.859792,971.464000,3.207636,target
review_overnight_20260422.zip|review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1000\placements.csv|340,topology_process_aware,process_aware_beam,26,10982.088377,10405.340461,-576.747916,5.251714,10732.088377,10405.340461,3.044588,18565.100000,18565.100000,29547.188377,28970.440461,1.951955,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,81.000000,68.000000,13.000000,442.175292,971.464000,2.197011,target
review_overnight_20260422.zip|review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1000\placements.csv|342,greedy,process_aware_beam,31,6415.828430,9692.418311,3276.589882,-51.070410,6165.828430,9692.418311,-57.195719,22848.200000,22848.200000,29264.028430,32540.618311,-11.196647,0.000000,0.000000,0.000000,5.000000,0.000000,-5.000000,5.000000,56.000000,51.000000,5.000000,15.796208,1079.021333,68.308884,target
review_overnight_20260422.zip|review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1000\placements.csv|342,path_distance_local_search,process_aware_beam,31,6415.828430,9692.418311,3276.589882,-51.070410,6165.828430,9692.418311,-57.195719,22848.200000,22848.200000,29264.028430,32540.618311,-11.196647,0.000000,0.000000,0.000000,5.000000,0.000000,-5.000000,5.000000,56.000000,51.000000,5.000000,361.631041,1079.021333,2.983763,target
review_overnight_20260422.zip|review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1000\placements.csv|342,topology_process_aware,process_aware_beam,31,10448.117018,9692.418311,-755.698707,7.232870,10448.117018,9692.418311,7.232870,22848.200000,22848.200000,33296.317018,32540.618311,2.269617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,69.000000,51.000000,18.000000,525.416417,1079.021333,2.053650,target
review_overnight_20260422.zip|review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_pilot\seed_1000\placements.csv|341,greedy,process_aware_beam,32,8634.058147,11509.494509,2875.436362,-33.303417,8634.058147,11009.494509,-27.512397,21845.100000,21845.100000,30479.158147,33354.594509,-9.434107,0.000000,0.000000,0.000000,8.000000,0.000000,-8.000000,8.000000,78.000000,84.000000,-6.000000,15.450459,1792.398792,116.009420,target
review_overnight_20260422.zip|review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_pilot\seed_1000\placements.csv|341,path_distance_local_search,process_aware_beam,32,8634.058147,11509.494509,2875.436362,-33.303417,8634.058147,11009.494509,-27.512397,21845.100000,21845.100000,30479.158147,33354.594509,-9.434107,0.000000,0.000000,0.000000,8.000000,0.000000,-8.000000,8.000000,78.000000,84.000000,-6.000000,464.332291,1792.398792,3.860164,target
review_overnight_20260422.zip|review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_pilot\seed_1000\placements.csv|341,topology_process_aware,process_aware_beam,32,12957.797726,11509.494509,-1448.303217,11.177078,12707.797726,11009.494509,13.364261,21845.100000,21845.100000,34802.897726,33354.594509,4.161444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,101.000000,84.000000,17.000000,1186.078417,1792.398792,1.511198,target
review_overnight_20260422.zip|review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_pilot\seed_1000\placements.csv|342,greedy,process_aware_beam,30,6814.637674,12145.428238,5330.790564,-78.225591,6314.637674,11895.428238,-88.378635,21325.100000,21325.100000,28139.737674,33470.528238,-18.943995,0.000000,0.000000,0.000000,3.000000,0.000000,-3.000000,3.000000,58.000000,70.000000,-12.000000,14.705708,962.948417,65.481269,target
review_overnight_20260422.zip|review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_pilot\seed_1000\placements.csv|342,path_distance_local_search,process_aware_beam,30,6814.637674,12145.428238,5330.790564,-78.225591,6314.637674,11895.428238,-88.378635,21325.100000,21325.100000,28139.737674,33470.528238,-18.943995,0.000000,0.000000,0.000000,3.000000,0.000000,-3.000000,3.000000,58.000000,70.000000,-12.000000,360.204917,962.948417,2.673335,target
